,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-14 04:10:58.587257,1532,inf,1
1,0,2021-01-14 04:14:55.315725,3665,22458323.117125332,1000
2,1,2021-01-14 04:19:03.831304,56845,22433749.389865458,1000
3,2,2021-01-14 04:22:17.276287,53280,22416720.394819796,1000
4,3,2021-01-14 04:24:15.936957,30823,21346547.068333257,1000
5,4,2021-01-14 04:26:12.767462,5148,15219396.356248977,1000
6,5,2021-01-14 04:28:08.744383,4718,7146135.2185202595,1000
7,6,2021-01-14 04:30:31.577029,5515,2991109.8704893016,1000
8,7,2021-01-14 04:34:07.276764,7642,1270691.3674261132,1000
9,8,2021-01-14 04:39:26.297752,10536,663342.2425121622,1000
10,9,2021-01-14 04:45:17.982644,12187,408757.4666408172,1000
11,10,2021-01-14 04:48:25.541825,6174,254436.64186145,1000
12,11,2021-01-14 04:51:14.886346,7059,166023.16245564877,1000
13,12,2021-01-14 04:54:20.052753,8119,109156.49131387482,1000
14,13,2021-01-14 04:58:07.836033,9556,72126.97622512537,1000
15,14,2021-01-14 05:01:27.766605,8909,46901.7197515919,1000
16,15,2021-01-14 05:04:50.689224,9457,31485.63243566774,1000
17,16,2021-01-14 05:09:00.454202,12204,21316.05705950248,1000
18,17,2021-01-14 05:13:18.378151,12681,14843.00934449289,1000
19,18,2021-01-14 05:19:33.930178,18815,10478.179239778668,1000
20,19,2021-01-14 05:32:32.588576,37924,7297.3358321676615,1000
21,20,2021-01-14 05:39:41.084444,22019,5801.531807884097,1000
22,21,2021-01-14 05:46:37.120141,21565,4629.937362341303,1000
23,22,2021-01-14 06:13:20.882619,69958,4263.791846653331,1000
24,23,2021-01-14 06:21:15.056683,24407,3402.8582235936633,1000
25,24,2021-01-14 06:26:48.863626,16821,2764.779051225331,1000
26,25,2021-01-14 06:41:26.599280,43061,2269.391920995695,1000
27,26,2021-01-14 06:55:58.645317,43776,1912.3178940570301,1000
28,27,2021-01-14 07:10:40.774123,43103,1639.666340118082,1000
29,28,2021-01-14 15:55:09.883823,1510572,988.5747988897771,1000
30,29,2021-01-14 16:59:57.285862,192929,870.8396262559972,1000
31,30,2021-01-14 17:50:53.371745,154581,770.6922582273863,1000
32,31,2021-01-14 19:09:15.831076,236624,666.0677237997998,1000
