,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,384,200,0,0,0
1,0,805,200,0,0,0
2,1,17090,200,17037,4601,17037
3,2,5880,200,5754,579,5754
4,3,1190,200,1186,419,1186
5,4,1019,200,964,357,964
6,5,1474,200,886,182,886
7,6,1918,200,713,109,713
8,7,3129,200,623,42,623
9,8,2511,200,735,77,735
10,9,1682,200,732,116,732
11,10,1707,200,763,122,763
12,11,2146,200,810,100,810
13,12,1885,200,741,91,741
14,13,3476,200,683,45,683
15,14,3260,200,787,63,787
16,15,2448,200,860,80,860
17,16,4138,200,705,44,705
18,17,4182,200,811,42,811
19,18,6347,200,765,20,765
20,19,3988,200,809,42,809
21,20,4757,200,661,30,661
22,21,10123,200,796,12,796
23,22,7643,200,654,15,654
24,23,3579,200,611,34,611
25,24,4331,200,515,28,515
26,25,8399,200,532,19,532
27,26,11493,200,514,9,514
28,27,17576,200,575,8,575
29,28,10169,200,501,13,501
30,29,8221,200,466,13,466
31,30,6848,200,452,12,452
