,t,population_end_time,samples,epsilon,particles
0,-1,2021-03-22 12:45:50.157979,502,inf,1
1,0,2021-03-22 12:46:54.912715,1514,22459135.449193608,500
2,1,2021-03-22 12:47:59.521917,2012,22439067.50200942,500
3,2,2021-03-22 12:49:50.442591,2647,22411919.685242064,500
4,3,2021-03-22 12:52:34.298690,2444,22310668.333672356,500
5,4,2021-03-22 12:56:25.136733,2076,17822490.22307361,500
6,5,2021-03-22 13:00:55.495047,2116,8307819.472779044,500
7,6,2021-03-22 13:06:47.631562,2659,2954347.8557897704,500
8,7,2021-03-22 13:15:53.039973,4410,1004954.1232725191,500
9,8,2021-03-22 13:28:15.232605,6055,649126.8961445071,500
10,9,2021-03-22 13:36:24.314353,3938,350523.5156118424,500
11,10,2021-03-22 13:42:39.658865,3203,214917.30149948373,500
12,11,2021-03-22 13:49:17.415892,3603,147058.49929793135,500
13,12,2021-03-22 13:57:10.183782,4842,94885.16648968452,500
14,13,2021-03-22 14:05:46.070346,5676,65060.64425703047,500
15,14,2021-03-22 14:15:22.253189,6520,45937.798400806736,500
16,15,2021-03-22 14:24:39.927537,6212,31717.48579530712,500
17,16,2021-03-22 14:32:50.833295,5772,20688.43030861018,500
18,17,2021-03-22 14:49:20.560971,12561,12920.407746789839,500
19,18,2021-03-22 15:06:51.103948,13086,10425.306733418227,500
20,19,2021-03-22 15:18:08.215232,8557,7889.505292217389,500
21,20,2021-03-22 15:30:48.442922,9735,6116.410101487461,500
22,21,2021-03-22 15:45:05.234832,10867,4880.455119422392,500
23,22,2021-03-22 15:58:35.052524,10179,3837.3640687688553,500
24,23,2021-03-22 16:25:21.809322,20737,3057.866453513736,500
25,24,2021-03-22 17:01:34.072413,27401,2460.2165548549947,500
26,25,2021-03-22 17:49:17.835873,36446,1977.3107433076236,500
27,26,2021-03-22 18:16:08.616022,19934,1694.3627647974342,500
28,27,2021-03-22 18:54:14.355938,28659,1482.1722105681333,500
29,28,2021-03-22 19:17:27.161870,16888,1296.025276816622,500
30,29,2021-03-22 19:51:20.904921,25317,1097.2503639526378,500
31,30,2021-03-22 20:28:35.624364,27853,961.9223196406888,500
32,31,2021-03-22 22:16:49.168720,79635,864.342382835365,500
33,32,2021-03-23 07:38:49.790629,434061,556.267864634051,500
