,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,-1,503,503,0,0,0
1,0,1588,747,0,0,0
2,1,16458,5885,15341,5411,15341
3,2,31846,9380,30681,8930,30681
4,3,44443,5746,42913,5222,42913
5,4,13206,6422,12906,6238,12906
6,5,5532,2066,5273,1955,5273
7,6,2288,830,2043,740,2043
8,7,2180,704,1274,408,1274
9,8,3382,608,1140,208,1140
10,9,5169,561,1024,116,1024
11,10,6537,546,1026,81,1026
12,11,3458,601,1123,186,1123
13,12,3060,609,1134,211,1134
14,13,3924,580,1103,155,1103
15,14,5462,569,1205,123,1205
16,15,4217,581,1090,149,1090
17,16,4443,583,1148,132,1148
18,17,7941,536,1250,81,1250
19,18,5783,558,1301,136,1301
20,19,9305,531,1195,65,1195
21,20,7797,541,1336,84,1336
22,21,7076,537,1301,103,1301
23,22,7193,542,1369,115,1369
24,23,7741,548,1276,57,1276
25,24,17196,515,1064,24,1064
26,25,18005,516,1164,30,1164
27,26,19258,507,1113,21,1113
28,27,12686,517,1080,51,1080
29,28,17628,513,881,25,881
30,29,19669,508,941,23,941
31,30,25042,515,795,20,795
32,31,26470,513,966,15,966
33,32,27620,516,812,16,812
34,33,57157,505,784,8,784
35,34,44939,505,685,7,685
