,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-16 16:57:23.797004,0,inf,1
1,0,2021-01-16 18:31:57.096213,493,65.0,256
2,1,2021-01-16 19:12:47.697326,656,35.16619537808561,256
3,2,2021-01-16 20:10:42.958186,777,26.341142436781276,256
4,3,2021-01-16 21:13:55.891019,915,19.54681749105248,256
5,4,2021-01-16 23:04:39.855295,1191,16.05662634342012,256
6,5,2021-01-17 00:15:33.332780,1269,14.230371072829643,256
7,6,2021-01-17 01:45:51.367231,1329,12.415164182749525,256
8,7,2021-01-17 04:13:21.829050,1703,10.564022591290861,256
9,8,2021-01-17 07:26:15.120114,2681,9.419755472093382,256
10,9,2021-01-17 10:52:08.088962,3097,8.874474875070767,256
11,10,2021-01-17 15:40:51.641017,4287,8.577120215841706,256
12,11,2021-01-17 22:24:38.393113,5653,8.173765244180407,256
13,12,2021-01-18 04:39:47.027347,5013,7.409592092875744,256
14,13,2021-01-18 12:35:37.759309,6532,6.595822888584065,256
15,14,2021-01-18 23:32:09.349732,8660,5.976746113263964,256
16,15,2021-01-19 17:52:24.266114,15447,5.291706148455778,256
17,16,2021-01-20 09:04:50.540123,12293,4.878189434488143,256
