,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-10 10:50:12.955737,0,inf,1
1,0,2021-01-10 12:19:29.126025,641,65.0,256
2,1,2021-01-10 13:24:36.411624,702,34.43191529729011,256
3,2,2021-01-10 15:01:51.500771,810,27.77691035559642,256
4,3,2021-01-10 16:28:03.277705,880,22.979284971593362,256
5,4,2021-01-10 17:54:21.955681,920,19.149335985445006,256
6,5,2021-01-10 19:32:41.432797,1049,15.746396508736295,256
7,6,2021-01-10 21:23:37.089775,1248,12.68009726493123,256
8,7,2021-01-11 00:02:54.333349,1885,10.876434668753358,256
9,8,2021-01-11 03:06:03.051798,2226,9.971748169848153,256
10,9,2021-01-11 07:22:23.914597,3293,8.832935065354416,256
11,10,2021-01-11 14:10:53.985373,5237,7.568815001556541,256
12,11,2021-01-11 21:39:52.853150,5612,6.991306217114431,256
13,12,2021-01-12 08:37:09.888425,8317,6.5241664979817156,256
14,13,2021-01-12 21:52:10.049480,10371,6.04702042267931,256
15,14,2021-01-13 09:07:20.669350,8867,5.576915247993522,256
16,15,2021-01-14 01:37:08.496747,12594,5.17681347184199,256
17,16,2021-01-16 03:38:29.394377,39912,4.249862990032228,256
