,t,population_end_time,samples,epsilon,particles
0,-1,2021-02-23 12:10:59.123285,0,inf,1
1,0,2021-02-23 13:48:20.932681,503,65.0,256
2,1,2021-02-23 14:50:01.603339,554,35.6,256
3,2,2021-02-23 16:26:50.446256,664,27.2,256
4,3,2021-02-23 18:27:06.624796,795,20.0,256
5,4,2021-02-23 20:30:54.386132,888,16.2,256
6,5,2021-02-24 00:03:00.542623,1588,13.4,256
7,6,2021-02-24 03:50:50.293711,1468,11.4,256
8,7,2021-02-24 09:17:36.541740,2325,9.68,256
9,8,2021-02-24 16:45:56.080564,3007,8.45,256
10,9,2021-02-25 03:28:51.440969,4391,7.46,256
11,10,2021-02-25 19:00:16.109062,6319,6.8,256
12,11,2021-02-26 19:00:03.101453,9894,6.26,256
13,12,2021-02-27 14:41:55.347241,7867,6.15,256
14,13,2021-02-28 19:21:01.602706,11631,5.48,256
15,14,2021-03-02 01:19:26.893725,12222,5.3,256
16,15,2021-03-03 10:41:16.259384,13383,5.0,256
