,t,population_end_time,samples,epsilon,particles
0,-1,2021-02-23 12:11:36.787638,0,inf,1
1,0,2021-02-23 13:49:37.286561,514,65.0,256
2,1,2021-02-23 15:34:39.271812,565,35.6,256
3,2,2021-02-23 17:32:44.086260,615,27.2,256
4,3,2021-02-23 20:12:13.790331,838,20.0,256
5,4,2021-02-23 23:17:38.318680,946,16.2,256
6,5,2021-02-24 03:25:45.821650,1322,13.4,256
7,6,2021-02-24 08:30:52.633915,1744,11.4,256
8,7,2021-02-24 15:57:39.102769,2553,9.68,256
9,8,2021-02-25 06:01:20.526945,4759,8.45,256
10,9,2021-02-25 23:40:34.418342,6713,7.46,256
11,10,2021-02-26 18:11:40.196603,6436,6.8,256
12,11,2021-02-27 18:39:24.426828,8470,6.26,256
13,12,2021-02-28 14:58:08.521261,7156,6.15,256
14,13,2021-03-01 19:30:12.600432,9995,5.48,256
15,14,2021-03-03 01:39:01.981100,10683,5.3,256
16,15,2021-03-04 18:41:57.155815,14334,5.0,256
