Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 13, 152.94707600887006, 292.7189965003521, 1993.058893442154
256, Ori, 13, 163.20454494769757, 813.3850933892841, 2125.3712561130524
1024, Ori, 13, 224.18177179189829, 656.7018967789622, 2917.8104300498962
4096, Ori, 13, 335.03269520172705, 1019.6921740982942, 4359.555921077728
64, PPP, 13, 80.02449837097755, 342.64905072525005, 1384.4446864128113
256, PPP, 13, 83.86355669681842, 105.87258462600305, 1093.744503736496
1024, PPP, 13, 125.64446137501643, 390.06757178691726, 1637.6898941993713
4096, PPP, 13, 209.95114383330713, 1119.930763591008, 2734.1825432777405
64, Stat, 3, 194.33310842514038, 185.03972611559632, 584.1131036281586
256, Stat, 3, 214.29859161376953, 41.11091436162955, 644.001017332077
1024, Stat, 3, 270.9128534793854, 586.9046753640259, 813.9196860790253
4096, Stat, 3, 445.63387338320416, 1379.4294688242437, 1338.5664088726044
