Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
32, True, 10, 9.086895418167114, 29.188701241925223, 90.86900162696838
64, True, 10, 18.11314125061035, 38.71778680731221, 181.13146138191223
128, True, 10, 50.90387454032898, 779.3737071355006, 509.0387988090515
256, True, 10, 84.00107724666596, 659.6634599415894, 840.0108251571655
512, True, 10, 145.06044299602507, 1032.6179130424007, 1450.6044838428497
1024, True, 10, 293.1453311920166, 4134.479292377468, 2931.4533801078796
2048, True, 10, 586.1001183271408, 16808.763774398223, 5861.001258611679
32, False, 3, 11.239123662312826, 24.2472759906754, 33.71738576889038
64, False, 3, 18.463974475860596, 24.920166930760427, 55.39193797111511
128, False, 3, 35.734976847966514, 36.35713239534047, 107.20494484901428
256, False, 3, 61.188371102015175, 3.611253853813398, 183.5651285648346
512, False, 3, 168.35857033729553, 774.338958813691, 505.07572841644287
1024, False, 3, 287.70734731356305, 5652.87913661933, 863.1220645904541
2048, False, 3, 482.539910475413, 16.82265976456807, 1447.6197547912598
