Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 15, 9.826754029591878, 1.619377692269423, 148.183100938797
256, Ori, 15, 14.593474928538004, 2.598520908939391, 219.55373978614807
1024, Ori, 15, 32.048719294865926, 3.1321083788584234, 481.7606999874115
4096, Ori, 15, 97.5885516166687, 3.629652801824226, 1466.4651067256927
64, PPP, 25, 6.247806415557862, 0.8817439389400128, 161.98184084892273
256, PPP, 25, 9.546081018447875, 0.943101267001116, 244.70173501968384
1024, PPP, 25, 21.395867767333986, 1.4041035277563798, 542.0825917720795
4096, PPP, 25, 71.62715796470643, 0.9462319991422267, 1801.849313735962
64, Stat, 10, 51.62089483737945, 3.662877949215261, 521.9632196426392
256, Stat, 10, 45.854974913597104, 6.95719019452987, 464.0664167404175
1024, Stat, 10, 58.283962869644164, 5.5950995941980315, 588.6310410499573
4096, Stat, 10, 139.78836255073549, 4.344812753406618, 1404.3497185707092
