,t,population_end_time,samples,epsilon,particles
0,-1,2020-12-27 17:47:59.314784,1012,inf,1
1,0,2020-12-27 17:49:34.873925,3497,22459118.378996138,1000
2,1,2020-12-27 17:50:43.435934,4592,22437101.753398743,1000
3,2,2020-12-27 17:52:18.530532,5788,22413709.282914117,1000
4,3,2020-12-27 17:54:20.546376,5510,22148461.557355903,1000
5,4,2020-12-27 17:56:58.663922,4634,15649047.807138586,1000
6,5,2020-12-27 17:59:44.774068,4713,7319988.000054256,1000
7,6,2020-12-27 18:03:15.445590,6053,2685555.1593791717,1000
8,7,2020-12-27 18:07:56.280011,8228,1020226.3631694511,1000
9,8,2020-12-27 18:14:27.331297,11894,627573.2674284906,1000
10,9,2020-12-27 18:18:12.954018,6829,351838.0306646253,1000
11,10,2020-12-27 18:21:43.852592,6590,218179.5228559179,1000
12,11,2020-12-27 18:25:30.379083,7986,148906.88273383438,1000
13,12,2020-12-27 18:28:59.208030,7637,102454.1620541707,1000
14,13,2020-12-27 18:32:54.227564,9443,69542.04790839423,1000
15,14,2020-12-27 18:36:55.980195,9903,45860.808195529906,1000
16,15,2020-12-27 18:41:28.484690,11778,31268.935715409076,1000
17,16,2020-12-27 18:46:21.819747,12829,21630.963491912655,1000
18,17,2020-12-27 18:51:37.227921,14461,14946.101190907892,1000
19,18,2020-12-27 18:55:52.796098,11773,10978.668175844961,1000
20,19,2020-12-27 19:02:36.776907,19296,8493.601231644485,1000
21,20,2020-12-27 19:07:39.569965,14491,6505.297348233944,1000
22,21,2020-12-27 19:17:20.932494,30311,5313.7650871894775,1000
23,22,2020-12-27 19:24:06.759565,19766,4198.274153354557,1000
24,23,2020-12-27 19:58:59.773876,96644,3294.751650050366,1000
25,24,2020-12-27 20:09:42.035197,30978,2719.0809995257528,1000
26,25,2020-12-27 20:30:41.048721,62369,2169.987718892018,1000
27,26,2020-12-27 21:13:18.998585,121719,1747.6370099343924,1000
28,27,2020-12-27 21:44:28.144235,90784,1477.3528194220955,1000
29,28,2020-12-27 22:26:29.482079,122819,1260.7433087990241,1000
30,29,2020-12-27 23:12:25.840358,134764,1107.725210211949,1000
31,30,2020-12-28 00:10:28.055341,169092,962.6512627359492,1000
32,31,2020-12-28 00:54:33.065246,131504,846.9105073907074,1000
33,32,2020-12-28 01:28:12.364218,99643,728.3321160518692,1000
34,33,2020-12-28 02:14:07.638207,134856,646.0317475929473,1000
