,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,384,200,0,0,0
1,0,860,200,0,0,0
2,1,13555,200,13473,3679,13473
3,2,7427,200,7353,1426,7353
4,3,4695,200,4626,701,4626
5,4,1506,200,1495,536,1495
6,5,1028,200,982,369,982
7,6,1133,200,955,291,955
8,7,1390,200,736,152,736
9,8,1654,200,709,116,709
10,9,3188,200,644,51,644
11,10,2916,200,710,57,710
12,11,1555,200,698,125,698
13,12,1485,200,784,141,784
14,13,1654,200,720,109,720
15,14,1494,200,761,133,761
16,15,2196,200,771,83,771
17,16,2041,200,779,103,779
18,17,2456,200,832,76,832
19,18,2348,200,784,85,784
20,19,3614,200,755,46,755
21,20,4782,200,839,44,839
22,21,3996,200,691,40,691
23,22,3752,200,740,45,740
24,23,2911,200,688,58,688
25,24,6002,200,804,27,804
26,25,4753,200,843,40,843
27,26,5435,200,666,24,666
28,27,3568,200,653,33,653
29,28,4951,200,472,15,472
30,29,6909,200,494,11,494
31,30,9257,200,550,20,550
32,31,16481,200,502,4,502
33,32,9796,200,567,9,567
