,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-02 20:07:42.260092,766,inf,1
1,0,2021-01-02 20:11:26.862230,1791,22458934.391472623,500
2,1,2021-01-02 20:14:43.160165,30015,22437773.83240756,500
3,2,2021-01-02 20:17:14.756509,22641,22419889.392532803,500
4,3,2021-01-02 20:18:54.584577,14151,22315644.42711881,500
5,4,2021-01-02 20:20:36.651722,3845,15930673.644657575,500
6,5,2021-01-02 20:22:49.899600,2993,5698350.702324189,500
7,6,2021-01-02 20:25:43.028759,3367,2183007.935669512,500
8,7,2021-01-02 20:30:38.521504,5148,847648.1418030536,500
9,8,2021-01-02 20:38:15.754445,7803,543533.0892586781,500
10,9,2021-01-02 20:42:07.002734,3931,303990.3487513958,500
11,10,2021-01-02 20:45:01.125966,3569,201991.90934504897,500
12,11,2021-01-02 20:48:42.299231,4659,130601.5291061969,500
13,12,2021-01-02 20:52:00.191301,4229,89310.62891776583,500
14,13,2021-01-02 20:55:07.991160,4136,59734.44776048944,500
15,14,2021-01-02 20:59:42.066748,6179,38453.779174221156,500
16,15,2021-01-02 21:08:09.040120,12176,24809.51784007534,500
17,16,2021-01-02 21:14:01.395710,8881,16403.10710771884,500
18,17,2021-01-02 21:19:22.836272,7771,12559.878808918076,500
19,18,2021-01-02 21:23:24.678176,6674,8663.024779384748,500
20,19,2021-01-02 21:26:53.918447,5330,6606.914993830033,500
21,20,2021-01-02 21:30:54.219702,6100,4968.575210089156,500
22,21,2021-01-02 21:37:45.315168,10652,3896.9184913020017,500
23,22,2021-01-02 21:42:48.078871,7875,3149.4028157001912,500
24,23,2021-01-02 21:47:59.138461,7863,2582.088329213355,500
25,24,2021-01-02 21:56:15.113772,12012,2249.028077706544,500
26,25,2021-01-02 22:01:42.172993,8363,1916.3869815851342,500
27,26,2021-01-02 22:14:19.717842,18477,1564.4872946995877,500
28,27,2021-01-02 22:25:31.873292,16416,1358.991591469308,500
29,28,2021-01-02 22:44:21.662036,27381,1186.1533119390083,500
30,29,2021-01-02 23:06:40.179211,32732,1003.7963928013837,500
31,30,2021-01-02 23:36:26.757942,44759,856.4787685543295,500
32,31,2021-01-03 00:06:44.748295,45500,742.2599964891145,500
33,32,2021-01-03 00:40:57.706256,51084,632.1922379982208,500
